time_sec,pitch_angle,yaw_angle,target,is_fired
0.0884,-1.4,0.0,5,0
0.0924,-1.4,0.0,5,0
0.1004,-1.4,0.0,5,0
0.161,-1.4,0.0,5,0
0.2215,-1.4,0.0,5,0
0.28,-1.4,0.0,5,0
0.3221,-1.6,-1.0,5,0
0.3813,-2.1,-2.4,5,0
0.441,-2.3,-3.4,5,0
0.4849,-2.4,-3.7,5,0
0.5405,-2.3,-3.7,5,0
0.5827,-2.3,-3.7,5,0
0.6407,-2.5,-4.5,5,0
0.7007,-2.7,-5.5,5,0
0.7398,-3.0,-7.0,5,0
0.8004,-3.3,-8.8,5,0
0.8404,-3.4,-9.7,5,0
0.9004,-3.4,-9.8,5,0
0.9611,-3.4,-9.8,5,0
1.0028,-3.5,-10.6,5,0
1.0604,-3.7,-11.9,5,0
1.1206,-3.8,-12.7,5,0
1.1832,-4.0,-14.0,5,0
1.2205,-4.1,-15.0,5,0
1.2815,-4.2,-16.0,5,0
1.3394,-4.3,-16.8,5,0
1.4006,-4.3,-17.1,5,0
1.4408,-4.3,-17.1,5,0
1.4998,-4.4,-17.5,5,0
1.5596,-4.4,-18.0,5,0
1.624,-4.5,-18.6,5,0
1.6607,-4.6,-19.2,5,0
1.7202,-4.6,-19.7,5,0
1.781,-4.7,-20.1,5,0
1.8411,-4.7,-20.5,5,0
1.9005,-4.7,-20.6,5,0
1.9398,-4.7,-21.0,5,0
2.0004,-4.8,-21.2,5,0
2.0405,-4.8,-21.5,5,0
2.1001,-4.8,-21.8,5,0
2.1597,-4.9,-21.9,5,0
2.2031,-4.9,-21.9,5,0
2.2616,-4.9,-22.2,5,0
2.301,-4.9,-22.3,5,0
2.3628,-4.9,-22.6,5,0
2.4216,-4.9,-22.7,5,0
2.4799,-5.0,-22.9,5,0
2.5201,-5.0,-22.9,5,0
2.5806,-5.0,-23.1,5,0
2.6405,-5.0,-23.2,5,1
2.7003,-5.0,-23.2,5,1
2.7409,-5.0,-23.3,5,1
2.801,-5.0,-23.2,5,0
2.8599,-5.0,-23.2,5,0
2.9004,-5.0,-20.3,5,0
2.96,-5.0,-16.6,5,0
3.0211,-5.0,-13.7,5,0
3.0805,-5.0,-9.4,5,0
3.1426,-5.0,-5.4,5,0
3.1803,-5.0,-2.6,5,0
3.2442,-5.1,0.1,5,0
3.3206,-5.1,2.1,5,0
3.341,-5.1,3.5,5,0
3.4001,-5.1,3.5,1,0
3.4602,-5.1,3.5,1,0
3.5016,-5.1,3.5,1,0
3.5603,-5.1,3.5,1,0
3.6206,-5.1,3.5,1,0
3.6803,-5.1,3.5,1,0
3.7193,-5.1,3.5,1,0
3.7791,-5.1,3.5,1,1
3.842,-5.1,3.5,1,1
3.88,-5.1,3.5,1,1
3.9428,-5.1,3.5,1,1
3.9801,-5.1,3.5,1,0
4.0415,-5.1,6.3,1,0
4.1226,-5.1,10.5,1,0
4.1602,-5.2,14.5,1,0
4.2227,-5.3,17.6,1,0
4.2605,-5.3,19.7,1,0
4.32,-5.3,21.9,1,0
4.381,-5.3,26.8,1,0
4.4205,-5.3,29.5,1,0
4.4813,-5.4,32.5,1,0
4.5421,-5.4,32.3,2,0
4.5999,-5.4,32.3,2,0
4.642,-5.3,32.2,2,0
4.7004,-5.4,32.2,2,0
4.7414,-5.4,32.2,2,0
4.8001,-5.3,32.2,2,0
4.8419,-5.4,32.2,2,0
4.9003,-5.4,32.3,2,0
4.9605,-5.4,32.6,2,0
4.9997,-5.4,33.1,2,0
5.0424,-5.4,33.4,2,0
5.1001,-5.4,33.8,2,0
5.1596,-5.3,34.2,2,0
5.2004,-5.3,34.4,2,0
5.2604,-5.3,34.8,2,0
5.3245,-5.3,35.0,2,0
